countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
8005,69.599998,10.96,.69,6.23,.23999999,5.8499999,6.4299998,1984,385100
8007,82.43,1.22,2.23,1.13,.13,10.55,2.3099999,1995,331900
8009,92.07,.92000002,1.99,0,.059999999,2.1300001,2.8299999,1964,98800
8011,81.589996,4.8099999,3.72,.67000002,0,3.1400001,6.0799999,1958,82500
8013,87.190002,.89999998,.50999999,4.8800001,.059999999,2.0899999,4.3600001,1984,539100
8014,85.589996,1.45,.49000001,6.6399999,0,1.08,4.7399998,1999,450600
8015,91.93,2.05,.41,.93000001,.50999999,1.9,2.26,1990,387300
8017,89.889999,.15000001,0,1.05,.30000001,.15000001,8.4499998,1972,141700
8019,94.669998,.99000001,.68000001,1.12,0,.0099999998,2.53,1973,399000
8021,82.940002,.28,2.3900001,.28,0,5.1500001,8.9499998,1975,123000
8023,76.75,.34,2.05,1.13,0,4.2800002,15.46,1978,123600
8025,78.410004,4.9699998,3.3499999,1.3099999,0,.51999998,11.44,1963,82900
8027,93.379997,1.7,.1,.36000001,0,3.3399999,1.11,1988,249900
8029,93.400002,1.1799999,.81999999,.86000001,0,1.29,2.46,1981,253500
8031,72.239998,9.1800003,.77999997,3.6099999,.16,6.9499998,7.0799999,1970,427600
8033,90.139999,0,4.8499999,0,0,3.6400001,1.37,1975,167700
8035,87.480003,1.49,.38999999,5.0900002,.07,1.54,3.95,1999,493500
8037,86.489998,1,.23999999,.55000001,0,4.5100002,7.2199998,1991,617200
8039,91.400002,.30000001,1.08,1,.029999999,.97000003,5.2199998,1994,492300
8041,78.279999,6.3000002,.80000001,2.6400001,.34,3.8399999,7.8000002,1987,300200
8043,89.839996,4.79,1.1900001,.75999999,.0099999998,1.11,2.3,1980,197500
8045,84.730003,.51999998,.49000001,.81999999,.090000004,8.6400003,4.71,1991,375600
8047,93.220001,.56,2.6900001,0,0,.079999998,3.45,1988,387000
8049,92.779999,.85000002,.88999999,.67000002,.17,.50999999,4.1399999,1989,347400
8051,94.349998,.31,1.17,.38,0,.88,2.9100001,1984,381900
8053,92.190002,1.66,2.6900001,.38,0,1.79,1.28,1983,325000
8055,91.300003,.12,2.8199999,.029999999,0,1.8,3.9300001,1973,183100
8057,98.559998,.61000001,0,0,0,0,.83999997,1982,211500
8059,88.400002,1.14,.64999998,2.8099999,.07,2.1800001,4.75,1979,433100
8061,98.360001,.34,.14,0,0,.27000001,.88999999,1962,85900
8063,89.480003,.38999999,.55000001,.14,.63,5.8000002,3.01,1972,127800
8065,80.980003,.059999999,3.22,.55000001,.050000001,5.8299999,9.3100004,1973,258200
