countycode,total_insurance,total_insurance_building,total_insurance_contents
13279,158853.84,153353.8461538462,5500
13281,204276.92,175776.9230769231,28500
13285,194558.33,140858.3333333333,53700
13287,46000,46000,0
13291,281072.72,238386.3636363636,42686.36363636364
13293,280000,200000,80000
13295,265600,190600,75000
13297,258333.33,196566.6666666667,61766.66666666666
13299,171250,125625,45625
13303,100711.11,87211.11111111111,13500
13309,71666.664,71666.66666666667,0
13311,316946.16,250969.2307692308,65976.92307692308
13313,565714.31,415714.2857142857,150000
13321,33800,26300,7500
15001,303800,235866.6666666667,67933.33333333333
15003,1810648.5,1744286.868686869,66361.61616161616
15007,296270.19,244980.4635761589,51289.73509933775
15009,3463015.5,3411801.5625,51214.0625
16001,289856.53,218465.2173913044,71391.30434782608
16005,268800,223800,45000
16009,281950,225000,56950
16013,343774.88,278975.3926701571,64799.47643979057
16015,280000,200000,80000
16017,236250,168750,67500
16019,42000,30000,12000
16021,246500,246500,0
16027,202766.67,160266.6666666667,42500
16029,210000,150000,60000
16039,164771.42,145200,19571.42857142857
16043,280000,200000,80000
16049,197500,147500,50000
16055,294800,228508.3333333333,66291.66666666667
16057,209115,174285,34830
16059,196133.33,162800,33333.33333333334
16067,282666.66,216000,66666.66666666667
16071,45000,35000,10000
16075,146000,140000,6000
16083,160000,135000,25000
16087,170262.5,159062.5,11200
17001,126634.21,108734.2105263158,17900
17003,69302.438,61500,7802.439024390244
17005,585000,500000,85000
17007,220210,172210,48000
17009,41300,30300,11000
17011,98760,77240,21520
17013,135702.66,113545.1327433628,22157.52212389381
17015,315000,225000,90000
17017,101433.34,80500,20933.33333333333
17019,178316.67,143016.6666666667,35300
17021,42000,30000,12000
17023,133250,101150,32100
17025,140000,100000,40000
17027,244366.67,174033.3333333333,70333.33333333333
17029,187490.91,122254.5454545455,65236.36363636364
17031,237877.88,204395.0588235294,33482.82352941176
17037,185266.67,180266.6666666667,5000
17041,67150,63200,3950
17043,584706.19,538132.4742268041,46573.71134020619
17045,61000,61000,0
17049,350000,250000,100000
17053,70000,50000,20000
17055,137285.72,103000,34285.71428571428
17057,165550,116900,48650
17063,171442.11,148771.9298245614,22670.17543859649
17067,84260,71985,12275
17071,125726.66,103933.3333333333,21793.33333333333
17073,84000,69000,15000
17075,79675,71625.48076923077,8049.51923076923
17077,154333.33,122250,32083.33333333333
17081,49280,45280,4000
17083,168815.33,149606.5693430657,19208.75912408759
17085,209120,128810,80310
17089,218501.38,182190.4109589041,36310.95890410959
17091,146496.67,134966.6666666667,11530
17093,192500,137500,55000
17095,350000,250000,100000
17097,252197.27,204577.2070626003,47620.06420545746
17099,170700,135479.1666666667,35220.83333333334
17101,76114.289,61614.28571428572,14500
17103,103500,97500,6000
17105,110725,97391.66666666667,13333.33333333333
17111,199741.33,179733.0578512397,20008.26446280992
17113,176828.58,144542.8571428571,32285.71428571429
17115,178857.14,130285.7142857143,48571.42857142857
17117,40000,30000,10000
17119,191890.25,147771.5447154471,44118.69918699187
17123,89514.289,75085.71428571429,14428.57142857143
17125,56122.223,48344.44444444445,7777.777777777777
17127,458933.34,260400,198533.3333333333
17129,86250,86250,0
17131,42000,30000,12000
17133,189587.5,120087.5,69500
17137,288700,193700,95000
17139,182000,182000,0
17141,133700,118217.3913043478,15482.60869565217
17143,128998.09,110393.3333333333,18604.7619047619
17145,250000,250000,0
17149,51290,44440,6850
17153,10000,10000,0
17155,77375,65575,11800
17157,138727.78,86372.22222222222,52355.55555555555
17161,134574.25,124713.1313131313,9861.111111111111
17163,134180,102893.3333333333,31286.66666666667
17165,90033.336,71166.66666666667,18866.66666666667
17167,222666.67,175208.3333333333,47458.33333333334
17177,97027.273,74609.09090909091,22418.18181818182
17179,384492.84,269642.8571428572,114850
17181,95916.664,84516.66666666667,11400
17183,111131.25,95825,15306.25
17187,105000,75000,30000
17189,75000,70000,5000
17191,20000,20000,0
17193,135250,120250,15000
17195,175025,147632.5,27392.5
17197,181494.19,152119.3548387097,29374.83870967742
17199,103627.27,94036.36363636363,9590.90909090909
17201,148432.11,132618.4210526316,15813.68421052631
17203,133645,117957.5,15687.5
18001,44500,44500,0
18003,157652.38,129728.5714285714,27923.80952380952
18005,169600,133350,36250
18011,126000,90000,36000
18013,378948.38,354658.064516129,24290.32258064516
18015,153631.33,123944.578313253,29686.74698795181
18019,174774.8,155976.4227642276,18798.37398373984
18021,44000,40000,4000
18025,59920,53540,6380
18029,135460,114366.6666666667,21093.33333333333
18031,350000,250000,100000
18035,139286.67,110953.3333333333,28333.33333333333
18037,240000,171428.5714285714,68571.42857142857
18039,142056.67,128295.8333333333,13760.83333333333
18041,196000,140000,56000
18043,132660,119356,13304
18047,166866.67,121311.1111111111,45555.55555555555
18049,94400,83742.85714285714,10657.14285714286
18051,123833.34,118833.3333333333,5000
18053,217000,154250,62750
18055,45000,35000,10000
18057,301373.34,218313.3333333333,83060
18059,61200,61200,0
18061,255700,242588.6363636364,13111.36363636364
18063,237633.33,237633.3333333333,0
18065,148900,141400,7500
18067,203333.33,144444.4444444444,58888.88888888889
18069,90000,45000,45000
18071,188800,145140,43660
18073,156850,139381.25,17468.75
18077,113605.41,96808.10810810811,16797.2972972973
18081,178785.72,154102.8571428571,24682.85714285714
18083,120360,93260,27100
18085,205359.38,174090.625,31268.75
18087,234200,177647.3684210526,56552.63157894737
18089,222755,174097.5,48657.5
18091,165950,131628.5714285714,34321.42857142857
18095,289150,241650,47500
18097,198327.38,164165.4761904762,34161.90476190476
18099,140757.89,122678.9473684211,18078.94736842105
18101,34000,34000,0
18103,210000,150000,60000
18105,167275,133480,33795
18107,350000,250000,100000
18109,172858.83,134670.5882352941,38188.23529411765
18111,136542.86,110828.5714285714,25714.28571428571
18113,142219.56,127569.5652173913,14650
18115,250000,250000,0
18117,78500,57500,21000
18119,75533.336,66333.33333333333,9200
18121,70000,50000,20000
18123,158980,114380,44600
18127,216713.33,167726.6666666667,48986.66666666666
18129,188009.09,147363.6363636364,40645.45454545454
18131,83700,71773.68421052632,11926.31578947369
18133,350000,250000,100000
18135,52500,52500,0
18137,112750,107750,5000
18139,155000,125000,30000
18141,211792.45,170667.9245283019,41124.52830188679
18143,280000,200000,80000
18145,75920,63540,12380
18147,180400,130400,50000
18149,166966.67,141113.3333333333,25853.33333333333
18151,195625,145625,50000
18155,82466.664,65141.66666666666,17325
18157,125262.5,98362.5,26900
18159,42900,36300,6600
18163,107797.44,90317.94871794872,17479.48717948718
18167,166450,137650,28800
18169,151666.67,108333.3333333333,43333.33333333334
18173,332600,302600,30000
18175,88020,65020,23000
18177,141966.67,112800,29166.66666666667
18179,203333.33,150000,53333.33333333334
18181,170716,139508,31208
18183,105000,75000,30000
19005,189800,141800,48000
19011,177168.75,134834.375,42334.375
19013,167770.17,139142.9824561403,28627.19298245614
19015,186666.67,133333.3333333333,53333.33333333334
19017,132568.19,119147.7272727273,13420.45454545455
19019,136222.22,113733.3333333333,22488.88888888889
19023,109501.47,84677.94117647059,24823.52941176471
19029,28000,20000,8000
19031,137350,117775,19575
19033,262738.47,196430.7692307692,66307.69230769231
19035,88953.844,72623.07692307692,16330.76923076923
19037,152500,131181.25,21318.75
19041,68080,68080,0
19043,169116,126968,42148
19045,105345.84,87637.5,17708.33333333333
19049,294000,210000,84000
19055,117477.78,92261.11111111111,25216.66666666667
19057,135358.77,94474.22680412371,40884.53608247422
19059,332500,237500,95000
19061,96007.141,88500,7507.142857142857
19063,138675,117350,21325
19065,122413.34,94680,27733.33333333333
19067,118972.5,98895,20077.5
19069,155000,140000,15000
19071,156524.42,113151.1450381679,43373.28244274809
19077,350000,250000,100000
19083,350000,250000,100000
19085,90945.453,81877.27272727272,9068.181818181818
19089,54250,38750,15500
19093,30000,30000,0
19095,66333.336,55000,11333.33333333333
19097,148700,114500,34200
19099,119000,85000,34000
19103,294357.16,235514.2857142857,58842.85714285714
19105,14300,14300,0
19109,270000,250000,20000
19111,150333.33,131366.6666666667,18966.66666666667
19113,561547.69,435624.3523316062,125923.3160621762
19115,177500,132500,45000
19125,350000,250000,100000
19129,287745.47,190775.7575757576,96969.69696969698
19131,204000,148000,56000
19133,350000,250000,100000
19137,55800,55800,0
19139,141537.84,124245.9459459459,17291.89189189189
19141,210000,150000,60000
19145,200000,150000,50000
19147,350000,250000,100000
